id,name,code,account_type,reconcile,tag_ids/id
Cuenta105_02_01,Clientes extranjeros,105.02.01,asset_receivable,TRUE,l10n_mx.tag_debit_balance_account
Cuenta105_03_01,Clientes nacionales parte relacionada,105.03.01,asset_receivable,TRUE,l10n_mx.tag_debit_balance_account
Cuenta105_04_01,Clientes extranjeros parte relacionada,105.04.01,asset_receivable,TRUE,l10n_mx.tag_debit_balance_account
Cuenta107_02_01,Socios y accionistas,107.02.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta107_03_01,Partes relacionadas nacionales,107.03.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta107_04_01,Partes relacionadas extranjeros,107.04.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_01_01,IVA a favor,113.01.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_02_01,ISR a favor,113.02.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_03_01,IETU a favor,113.03.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_04_01,IDE a favor,113.04.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_05_01,IA a favor,113.05.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_06_01,Subsidio al empleo,113.06.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_07_01,Pago de lo indebido,113.07.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta113_08_01,Otros impuestos a favor,113.08.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta114_01_01,Pagos provisionales de ISR,114.01.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta115_07_01,Otros,115.07.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta118_02_01,IVA acreditable de importación pagado,118.02.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta118_04_01,IEPS pagado en importación,118.04.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta119_02_01,IVA de importación pendiente de pago,119.02.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta119_04_01,IEPS pendiente de pago en importación,119.04.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta120_03_01,Anticipo a proveedores nacional parte relacionada,120.03.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta120_04_01,Anticipo a proveedores extranjero parte relacionada,120.04.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta121_01_01,Otros activos a corto plazo,121.01.01,asset_current,FALSE,l10n_mx.tag_debit_balance_account
Cuenta201_02_01,Proveedores extranjeros,201.02.01,liability_payable,TRUE,l10n_mx.tag_credit_balance_account
Cuenta201_03_01,Proveedores nacionales parte relacionada,201.03.01,liability_payable,TRUE,l10n_mx.tag_credit_balance_account
Cuenta201_04_01,Proveedores extranjeros parte relacionada,201.04.01,liability_payable,TRUE,l10n_mx.tag_credit_balance_account
Cuenta205_01_01,"Socios, accionistas o representante legal",205.01.01,liability_current,FALSE,l10n_mx.tag_credit_balance_account
